fuente,semana_inicio,serie,importe_observado,importe_estimado,estado,metodo
compras,2021-08-09,CHOCOLATE,,74.47890625,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-08-16,CHOCOLATE,,74.47890625,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-08-30,CHOCOLATE,,74.47890625,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-03-07,CHOCOLATE,,74.47890625,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-04-11,CHOCOLATE,,74.47890625,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-04-18,CHOCOLATE,,74.47890625,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-05-02,CHOCOLATE,,74.47890625,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-05-16,CHOCOLATE,,74.47890625,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-05-23,CHOCOLATE,,74.47890625,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-07-04,CHOCOLATE,,74.47890625,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-07-11,CHOCOLATE,,74.47890625,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-10-10,CHOCOLATE,,74.47890625,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-04-10,CHOCOLATE,,74.47890625,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-05-08,CHOCOLATE,,74.47890625,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-06-19,CHOCOLATE,,74.47890625,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-07-03,CHOCOLATE,,74.47890625,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-08-28,CHOCOLATE,,74.47890625,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-10-23,CHOCOLATE,,74.47890625,estimado_promedio_simple,media_aritmetica_categoria
compras,2024-01-01,CHOCOLATE,,74.47890625,estimado_promedio_simple,media_aritmetica_categoria
compras,2024-01-29,CHOCOLATE,,74.47890625,estimado_promedio_simple,media_aritmetica_categoria
compras,2024-02-19,CHOCOLATE,,74.47890625,estimado_promedio_simple,media_aritmetica_categoria
compras,2024-03-18,CHOCOLATE,,74.47890625,estimado_promedio_simple,media_aritmetica_categoria
compras,2024-04-15,CHOCOLATE,,74.47890625,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-05-10,CINTA,,0.0,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-05-24,CINTA,,0.0,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-06-07,CINTA,,0.0,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-07-05,CINTA,,0.0,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-07-12,CINTA,,0.0,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-08-02,CINTA,,0.0,estimado_promedio_simple,media_aritmetica_categoria
