semana_inicio,importe_nominal,available_at,es_sintetico,estado_dato
2025-08-04,830.0,2025-08-11,False,observado
2025-08-11,450.0,2025-08-18,False,observado
2025-08-18,,2025-08-25,False,ausente_fuera_de_alcance
2025-08-25,230.0,2025-09-01,False,observado
2025-09-01,384.23,2025-09-08,False,observado
2025-09-08,,2025-09-15,False,ausente_fuera_de_alcance
2025-09-15,,2025-09-22,False,ausente_fuera_de_alcance
2025-09-22,1420.0,2025-09-29,False,observado
2025-09-29,732.6,2025-10-06,False,observado
2025-10-06,230.0,2025-10-13,False,observado
2025-10-13,,2025-10-20,False,ausente_fuera_de_alcance
2025-10-20,450.0,2025-10-27,False,observado
2025-10-27,,2025-11-03,False,ausente_fuera_de_alcance
2025-11-03,,2025-11-10,False,ausente_fuera_de_alcance
2025-11-10,2500.0,2025-11-17,False,observado
2025-11-17,,2025-11-24,False,ausente_fuera_de_alcance
2025-11-24,,2025-12-01,False,ausente_fuera_de_alcance
2025-12-01,1473.19,2025-12-08,False,observado
2025-12-08,1260.0,2025-12-15,False,observado
2025-12-15,220.0,2025-12-22,False,observado
2025-12-22,456.2,2025-12-29,False,observado
2025-12-29,,2026-01-05,False,ausente_fuera_de_alcance
2026-01-05,,2026-01-12,False,ausente_fuera_de_alcance
2026-01-12,710.0,2026-01-19,False,observado
2026-01-19,2552.65,2026-01-26,False,observado
2026-01-26,,2026-02-02,False,ausente_fuera_de_alcance
2026-02-02,,2026-02-09,False,ausente_fuera_de_alcance
2026-02-09,535.0,2026-02-16,False,observado
2026-02-16,6.06,2026-02-23,False,observado
2026-02-23,520.0,2026-03-02,False,observado
2026-03-02,264.31,2026-03-09,False,observado
2026-03-09,,2026-03-16,False,ausente_fuera_de_alcance
2026-03-16,2.7,2026-03-23,False,observado
2026-03-23,850.0,2026-03-30,False,observado
2026-03-30,,2026-04-06,False,ausente_fuera_de_alcance
2026-04-06,,2026-04-13,False,ausente_fuera_de_alcance
2026-04-13,1660.0,2026-04-20,False,observado
2026-04-20,662.8,2026-04-27,False,observado
2026-04-27,2.4,2026-05-04,False,observado
2026-05-04,322.1,2026-05-11,False,observado
2026-05-11,910.0,2026-05-18,False,observado
