descripcion_normalizada,insumo_id,aprobado,decision,evidencia
DOMO GRANDE,,False,revisar,
DOMO MANTECADA 12 CAVIDADES,,False,revisar,
DOMO MANTECADA 6 CAVIDADES,,False,revisar,
DOMO PARA CUPCAKE,,False,revisar,
DOMO PARA CUPCAKE 12 PIEZAS,,False,revisar,
DOMO PARA CUPCAKE 6 PIEZAS,,False,revisar,
DOMO PARA CUPCAKES,,False,revisar,
DOMO RIGIDO 35-25 INIX,,False,revisar,
DURAZNO EN ALMIBAR NA,,False,revisar,
DURAZNO MITADES EN ALMIBAR 820G,,False,revisar,
DUYA,,False,revisar,
DUYA ALUMINIO REPO NO. 70,,False,revisar,
DUYA PASTO CHICA,,False,revisar,
EASY PASTEL TRES LECHES,,False,revisar,
EASY PASTEL TRES LECHES VAINILLA,,False,revisar,
ENCAJE,,False,revisar,
ENTREPISO,,False,revisar,
ENTREPISO 34 CM,,False,revisar,
ENTREPISO TETRAPACK,,False,revisar,
ENTREPISOS,,False,revisar,
ENVIO,,False,revisar,
ES,,False,revisar,
ESCENCIA MENTA,,False,revisar,
ESCENCIA ROMPOPE,,False,revisar,
ESPATULA,,False,revisar,
ESPATULA PARA LEVANTAR PASTEL,,False,revisar,
"ESPATULA, REBANADOR DE PASTEL, MOLDES, PIPETILLAS, MANDIL, AGUJA PRUEBA DE PASTEL",,False,revisar,
ESPATULAS,,False,revisar,
ESTRELLA COLORES,,False,revisar,
ESTRELLAS,,False,revisar,
ESTRUCTURA,,False,revisar,
EVAPORADA,,False,revisar,
EXTRUDE,,False,revisar,
FECULA DE MAIZ,,False,revisar,
FENIX CUCHARA PASTELERA 50 PZ,,False,revisar,
FERRERO,,False,revisar,
FERRERO ROCHER,,False,revisar,
FERRERO ROCHER T-10,,False,revisar,
FERRERO ROCHER T-16,,False,revisar,
FIORENTINA MANGA NO 12 10 PZ,,False,revisar,
FOAMI CON DIAMANTINA CARTA,,False,revisar,
FONDANT SABOR NATA COCO BLANCO,,False,revisar,
FOUNDANT,,False,revisar,
FOUNDANT SABOR NATA COCO BLANCO,,False,revisar,
GALLETA,,False,revisar,
GALLETA OREO,,False,revisar,
GALLETA OREO BASE,,False,revisar,
GALLETA OREO RELLENO,,False,revisar,
GALLETA OREO SUELTA,,False,revisar,
GAS LP,,False,revisar,
GASOLINA,,False,revisar,
GASOLINA (APROX),,False,revisar,
GLORIA MAN,,False,revisar,
GOMA ARO DURAZNO LUCK,,False,revisar,
GOMA ARO MANZANA LUCKY GUMMYS,,False,revisar,
GOMA RICOLINO,,False,revisar,
GRANILLO ALPESSI COLO,,False,revisar,
GRANILLO CHICO,,False,revisar,
GRANILLO CHOCOLATE COMBINADO TURIN,,False,revisar,
