insumo,importe,acumulado_pct
huevo_blanco_pz,6.0,99.97387355445838
granillo_chico,5.0,99.9815578031471
base_plateada_pasteloso_18_cm,5.0,99.98924205183583
base_16,4.0,99.9953894507868
bolsa,3.0,100.00000000000004
reyma_tapa_n_10_50_pz,0.0,100.00000000000004
royal_icing_deiman_500_g,0.0,100.00000000000004
mantequilla_gloria_225_g,0.0,100.00000000000004
fiorentina_manga_no_12_10_pz,0.0,100.00000000000004
fenix_cuchara_pastelera_50_pz,0.0,100.00000000000004
inca_mante,0.0,100.00000000000004
galleta_oreo_base,0.0,100.00000000000004
bases_para_pastel_30,0.0,100.00000000000004
hoja_de_arroz_gruesa,0.0,100.00000000000004
goma_aro_manzana_lucky_gummys,0.0,100.00000000000004
reyma_vaso_n_10_50_pz,0.0,100.00000000000004
cremfil_cream_cheese_filling_puratos,0.0,100.00000000000004
base_fantasia_pasteloso_36_cm,0.0,100.00000000000004
base_doble_liston_negra_36_cm,0.0,100.00000000000004
cupcake_6,0.0,100.00000000000004
cupcake_12,0.0,100.00000000000004
dmonte_elote,0.0,100.00000000000004
marian_surtido_navideno_340_g,0.0,100.00000000000004
compra_mixta_empaques_decoracion,0.0,100.00000000000004
color_rojo_enco_40_g,0.0,100.00000000000004
color_negro_enco_40_g,0.0,100.00000000000004
color_morado_enco_40_g,0.0,100.00000000000004
caketopper_harry_potter,0.0,100.00000000000004
caketopper_happy_birthday_tx,0.0,100.00000000000004
caja_cupcake_blanca_6_cav,0.0,100.00000000000004
nescafe_4,0.0,100.00000000000004
chips_amarillo_alpezzi_c_500_gr,0.0,100.00000000000004
chips_rosa_alpezzi_c_500_g,0.0,100.00000000000004
paquete_palitos_para_paletas,0.0,100.00000000000004
perla_neon_y_confeti_ma_baker,0.0,100.00000000000004
pastel_alto,0.0,100.00000000000004
pasa_grande_chilena,0.0,100.00000000000004
azuczulka,0.0,100.00000000000004
alegria_capacillo_bco_dots_colores_100_pz,0.0,100.00000000000004
